Event Date,Weekday,Hour,Month,Day,Moon Phase,Full Moon,Temperature_MAX,Temperature_MIN,Precipitation,temperature
2024-10-27 00:00:00,Sunday,0,October,27,0.8140173317608375,0,53.0,38.3,0.0,45.65
2024-10-26 00:00:00,Saturday,0,October,26,0.7804022204644658,0,62.6,44.5,0.0,53.55
2024-10-28 00:00:00,Monday,0,October,28,0.847632443056394,0,48.9,36.9,0.0,42.9
2024-10-28 00:00:00,Monday,0,October,28,0.847632443056394,0,48.9,36.9,0.0,42.9
2024-11-07 00:00:00,Thursday,0,November,7,0.18388485447556702,0,68.1,49.4,0.0,58.75
2024-11-19 00:00:00,Tuesday,0,November,19,0.587488527176101,0,56.7,42.2,0.0,49.45
2024-11-21 00:00:00,Thursday,0,November,21,0.6547558059559399,0,48.3,45.0,13.2,46.65
2024-11-23 00:00:00,Saturday,0,November,23,0.722023084742085,0,46.0,42.2,17.8,44.1
2024-11-30 00:00:00,Saturday,0,November,30,0.957458560481683,1,39.3,28.7,0.0,34.0
2024-12-09 00:00:00,Monday,0,December,9,0.26070273291616813,0,45.4,31.4,6.9,38.4
2024-12-15 00:00:00,Sunday,0,December,15,0.4629245361159742,0,34.3,17.9,0.0,26.099999999999998
2024-12-16 00:00:00,Monday,0,December,16,0.4966281699879413,0,42.2,29.6,0.2,35.900000000000006
2024-12-19 00:00:00,Thursday,0,December,19,0.5977390715888089,0,43.1,32.5,5.1,37.8
2024-12-24 00:00:00,Tuesday,0,December,24,0.7662572409158064,0,32.4,20.6,0.7,26.5
2024-10-07 11:37:00,Monday,11,October,7,0.15798575345910498,0,62.7,50.0,11.8,56.35
2024-10-07 11:50:00,Monday,11,October,7,0.15828922321419417,0,62.7,50.0,11.8,56.35
2024-10-07 11:54:00,Monday,11,October,7,0.1583825985252067,0,62.7,50.0,11.8,56.35
2024-10-07 11:55:00,Monday,11,October,7,0.1584059423567101,0,62.7,50.0,11.8,56.35
2024-10-07 11:58:00,Monday,11,October,7,0.15847597384155004,0,62.7,50.0,11.8,56.35
2024-10-07 12:00:00,Monday,12,October,7,0.15852266148932959,0,62.7,50.0,11.8,56.35
2024-10-07 12:03:00,Monday,12,October,7,0.15859269297898415,0,62.7,50.0,11.8,56.35
2024-10-08 13:20:00,Tuesday,13,October,8,0.19400527897303402,0,64.4,47.6,0.0,56.0
2024-10-08 13:22:00,Tuesday,13,October,8,0.19405196662577032,0,64.4,47.6,0.0,56.0
2024-10-08 13:27:00,Tuesday,13,October,8,0.1941686857581894,0,64.4,47.6,0.0,56.0
2024-10-08 13:32:00,Tuesday,13,October,8,0.19428540490537777,0,64.4,47.6,0.0,56.0
2024-10-08 13:34:00,Tuesday,13,October,8,0.1943320925459688,0,64.4,47.6,0.0,56.0
2024-10-08 13:36:00,Tuesday,13,October,8,0.19437878021509464,0,64.4,47.6,0.0,56.0
2024-10-08 13:39:00,Tuesday,13,October,8,0.19444881169381178,0,64.4,47.6,0.0,56.0
2024-10-08 13:40:00,Tuesday,13,October,8,0.19447215551303756,0,64.4,47.6,0.0,56.0
2024-10-08 13:44:00,Tuesday,13,October,8,0.19456553082308137,0,64.4,47.6,0.0,56.0
2024-10-08 13:48:00,Tuesday,13,October,8,0.19465890613523407,0,64.4,47.6,0.0,56.0
2024-10-08 13:50:00,Tuesday,13,October,8,0.19470559378938962,0,64.4,47.6,0.0,56.0
2024-10-08 13:53:00,Tuesday,13,October,8,0.1947756252707346,0,64.4,47.6,0.0,56.0
2024-10-08 14:00:00,Tuesday,14,October,8,0.19493903206075536,0,64.4,47.6,0.0,56.0
2024-10-08 14:04:00,Tuesday,14,October,8,0.195032407368131,0,64.4,47.6,0.0,56.0
2024-10-08 14:05:00,Tuesday,14,October,8,0.1950557512060543,0,64.4,47.6,0.0,56.0
2024-10-08 14:17:00,Tuesday,14,October,8,0.19533587711970202,0,64.4,47.6,0.0,56.0
2024-10-08 14:31:00,Tuesday,14,October,8,0.19566269071412237,0,64.4,47.6,0.0,56.0
2024-10-08 14:33:00,Tuesday,14,October,8,0.19570937836164726,0,64.4,47.6,0.0,56.0
2024-10-08 14:35:00,Tuesday,14,October,8,0.1957560660237983,0,64.4,47.6,0.0,56.0
2024-10-08 14:36:00,Tuesday,14,October,8,0.19577940984576137,0,64.4,47.6,0.0,56.0
2024-10-08 14:38:00,Tuesday,14,October,8,0.1958260974994612,0,64.4,47.6,0.0,56.0
2024-10-08 14:41:00,Tuesday,14,October,8,0.19589612898228692,0,64.4,47.6,0.0,56.0
2024-10-08 14:46:00,Tuesday,14,October,8,0.19601284811572414,0,64.4,47.6,0.0,56.0
2024-10-08 14:49:00,Tuesday,14,October,8,0.19608287959413034,0,64.4,47.6,0.0,56.0
2024-10-08 14:51:00,Tuesday,14,October,8,0.19612956725872907,0,64.4,47.6,0.0,56.0
2024-10-08 14:53:00,Tuesday,14,October,8,0.19617625490346902,0,64.4,47.6,0.0,56.0
2024-10-08 14:55:00,Tuesday,14,October,8,0.19622294255857767,0,64.4,47.6,0.0,56.0
2024-10-08 14:57:00,Tuesday,14,October,8,0.19626963022030616,0,64.4,47.6,0.0,56.0
2024-10-08 14:58:00,Tuesday,14,October,8,0.196292974039737,0,64.4,47.6,0.0,56.0
2024-10-08 15:05:00,Tuesday,15,October,8,0.1964563808417806,0,64.4,47.6,0.0,56.0
2024-10-08 15:08:00,Tuesday,15,October,8,0.19652641231399964,0,64.4,47.6,0.0,56.0
2024-10-08 15:11:00,Tuesday,15,October,8,0.19659644379864785,0,64.4,47.6,0.0,56.0
2024-10-08 15:16:00,Tuesday,15,October,8,0.1967131629435335,0,64.4,47.6,0.0,56.0
2024-10-09 07:47:00,Wednesday,7,October,9,0.2198468957776244,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 07:53:00,Wednesday,7,October,9,0.21998695875109076,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:00:00,Wednesday,8,October,9,0.22015036553162162,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:19:00,Wednesday,8,October,9,0.22059389825440348,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:21:00,Wednesday,8,October,9,0.22064058590927685,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:23:00,Wednesday,8,October,9,0.22068727356789275,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:26:00,Wednesday,8,October,9,0.22075730503829297,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:30:00,Wednesday,8,October,9,0.22085068035763647,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:31:00,Wednesday,8,October,9,0.22087402418654808,0,61.7,44.6,0.5,53.150000000000006
2024-10-09 08:34:00,Wednesday,8,October,9,0.22094405566426223,0,61.7,44.6,0.5,53.150000000000006
2024-10-10 07:02:00,Thursday,7,October,10,0.25241153484667184,0,57.3,44.2,0.1,50.75
2024-10-10 07:10:00,Thursday,7,October,10,0.2525982854702583,0,57.3,44.2,0.1,50.75
2024-10-10 07:13:00,Thursday,7,October,10,0.25266831694529285,0,57.3,44.2,0.1,50.75
2024-10-10 07:16:00,Thursday,7,October,10,0.2527383484218443,0,57.3,44.2,0.1,50.75
2024-10-10 07:19:00,Thursday,7,October,10,0.2528083799111784,0,57.3,44.2,0.1,50.75
2024-10-10 07:21:00,Thursday,7,October,10,0.2528550675639757,0,57.3,44.2,0.1,50.75
2024-10-10 07:25:00,Thursday,7,October,10,0.25294844287135665,0,57.3,44.2,0.1,50.75
2024-10-10 07:26:00,Thursday,7,October,10,0.2529717867087346,0,57.3,44.2,0.1,50.75
2024-10-10 07:28:00,Thursday,7,October,10,0.2530184743614157,0,57.3,44.2,0.1,50.75
2024-10-10 07:29:00,Thursday,7,October,10,0.25304181818356747,0,57.3,44.2,0.1,50.75
2024-10-10 07:32:00,Thursday,7,October,10,0.2531118496654513,0,57.3,44.2,0.1,50.75
2024-10-10 07:36:00,Thursday,7,October,10,0.2532052249755754,0,57.3,44.2,0.1,50.75
2024-10-10 07:38:00,Thursday,7,October,10,0.25325191263151525,0,57.3,44.2,0.1,50.75
2024-10-10 07:40:00,Thursday,7,October,10,0.253298600281728,0,57.3,44.2,0.1,50.75
2024-10-10 07:42:00,Thursday,7,October,10,0.2533452879444961,0,57.3,44.2,0.1,50.75
2024-10-10 07:44:00,Thursday,7,October,10,0.2533919755885754,0,57.3,44.2,0.1,50.75
2024-10-10 07:47:00,Thursday,7,October,10,0.2534620070728816,0,57.3,44.2,0.1,50.75
2024-10-10 07:51:00,Thursday,7,October,10,0.25355538237943726,0,57.3,44.2,0.1,50.75
2024-10-10 07:57:00,Thursday,7,October,10,0.2536954453420892,0,57.3,44.2,0.1,50.75
2024-10-10 07:59:00,Thursday,7,October,10,0.2537421329995895,0,57.3,44.2,0.1,50.75
2024-10-10 08:00:00,Thursday,8,October,10,0.2537654768265998,0,57.3,44.2,0.1,50.75
2024-10-10 08:01:00,Thursday,8,October,10,0.2537888206630287,0,57.3,44.2,0.1,50.75
2024-10-10 08:03:00,Thursday,8,October,10,0.2538355083090189,0,57.3,44.2,0.1,50.75
2024-10-10 08:04:00,Thursday,8,October,10,0.2538588521435574,0,57.3,44.2,0.1,50.75
2024-10-10 08:06:00,Thursday,8,October,10,0.25390553978826297,0,57.3,44.2,0.1,50.75
2024-10-10 08:08:00,Thursday,8,October,10,0.25395222744811724,0,57.3,44.2,0.1,50.75
2024-10-10 08:09:00,Thursday,8,October,10,0.2539755712762584,0,57.3,44.2,0.1,50.75
2024-10-10 08:11:00,Thursday,8,October,10,0.2540222589322837,0,57.3,44.2,0.1,50.75
2024-10-10 08:12:00,Thursday,8,October,10,0.25404560275852683,0,57.3,44.2,0.1,50.75
2024-10-10 08:14:00,Thursday,8,October,10,0.25409229041540315,0,57.3,44.2,0.1,50.75
2024-10-10 08:15:00,Thursday,8,October,10,0.25411563423769196,0,57.3,44.2,0.1,50.75
2024-10-10 08:16:00,Thursday,8,October,10,0.2541389780633301,0,57.3,44.2,0.1,50.75
2024-10-10 08:17:00,Thursday,8,October,10,0.25416232189053145,0,57.3,44.2,0.1,50.75
2024-10-10 08:19:00,Thursday,8,October,10,0.2542090095454566,0,57.3,44.2,0.1,50.75
2024-10-10 08:20:00,Thursday,8,October,10,0.25423235338367833,0,57.3,44.2,0.1,50.75
2024-10-10 08:23:00,Thursday,8,October,10,0.2543023848600887,0,57.3,44.2,0.1,50.75
2024-10-10 08:24:00,Thursday,8,October,10,0.2543257286885717,0,57.3,44.2,0.1,50.75
2024-10-10 08:24:00,Thursday,8,October,10,0.2543257286885717,0,57.3,44.2,0.1,50.75
2024-10-10 08:25:00,Thursday,8,October,10,0.25434907251270017,0,57.3,44.2,0.1,50.75
2024-10-10 08:26:00,Thursday,8,October,10,0.254372416339949,0,57.3,44.2,0.1,50.75
2024-10-10 08:27:00,Thursday,8,October,10,0.2543957601634133,0,57.3,44.2,0.1,50.75
2024-10-10 08:28:00,Thursday,8,October,10,0.254419103997324,0,57.3,44.2,0.1,50.75
2024-10-10 08:29:00,Thursday,8,October,10,0.2544424478173774,0,57.3,44.2,0.1,50.75
2024-10-10 08:30:00,Thursday,8,October,10,0.25446579165240524,0,57.3,44.2,0.1,50.75
2024-10-10 08:31:00,Thursday,8,October,10,0.25448913547352137,0,57.3,44.2,0.1,50.75
2024-10-10 08:31:00,Thursday,8,October,10,0.25448913547352137,0,57.3,44.2,0.1,50.75
